id,text,label
236,u   guys pls  help    <b>i  have   not   received   my  delivary...</span>  https://example.com/account,delivery
237,<span>i have a prob w/ my latest invoice.</b> 🙏,billing
238,🙏 https://example.com/help <strong>... the delivery date has passed!!</p>,delivery
239,pls help The courier has not delivered my order. https://example.com/support 😡,delivery
240,can you    tell   me when    my  package   will arrive??,delivery
241,<p><b>I have been waiting for my order 4 several days.</b></p>,delivery
242,<div>My   order  was  expected today    but  hasn't arrvied</b></p>,delivery
243,HI PLS MY SHIPMENT HAS NOT BEEN DELIVERED!?! THX PLS,delivery
244,u guys  pls help   https://shop.example.com/order  <span>The   package   is missing.</b></p>    can  u   check,delivery
245,😡 can you explain this charge on my bill?,billing
246,THE    SYSTEM    IS   EXTREMELY    SLOW??,technical
247,<B>MY INVOICE SHOWS   THE    WRONG    AMOUNT.</P>,billing
248,<span>I   would  like    2  dispute   a   charge.</p>   pls help,billing
249,u guys pls help My order was expected today but hasn't arrived. 🙏,delivery
250,pls help ?? Can you tell me when my package will arrive? pls check,delivery
251,PLS CHECK <SPAN>!!! MY DELIVERY IS LATE!!!</STRONG>,delivery
252,<b>?? the website is not loading properly?!</div> thx 📦,technical
253,😩 u guys pls help <b>I forgot my login details.</b></p> thx pls,account
254,😩 <span>The refund amount on my account is incorrect?!</b> pls check,billing
255,??    I   WAS    CHARGED  EVEN    THOUGH  MY  ORDER  WAS    CANCELLED.   LET    ME KNOW   ASAP,billing
256,hey pls  help I  need   2   update my    account information. https://shop.example.com/order   let me   know asap,account
257,U GUYS PLS HELP I HAVE BEEN WAITING FOR MY ORDER FOR SEVERAL DAYS?? HTTPS://EXAMPLE.COM/SUPPORT THX PLS,delivery
258,I would  like 2  dispute    a charge.,billing
259,🙏 HEY PLS HELP WWW.EXAMPLE.COM/HELP THE WEBSITE GIVES ME AN ERROR EVERY TIME!!!,technical
260,<SPAN>WHY WAS I CHARGED $5 FOR MY ORDER...</P>,billing
261,<b>Can u check the status of my delivery?</span> www.example.com/help,delivery
262,pls   check  ??    My    acount  credentials   are  not wroking,account
263,😤   the   website    stopped   responding??    www.example.com/help,technical
264,... whyyy can't I sign into my acc 💳,account
265,plz help The delivery date has passed. http://support.example.com,delivery
266,hey pls help <p><b>?? The webiste is not loading properly.</b> 😭,technical
267,<strong>the system is not responding to my requests.</p>,technical
268,http://support.example.com <p><b>I am unable to sign in!?!</b>,account
269,?? Why    is   there an additional  fee    on my   bill???,billing
270,plz hElp tHE WEBsiTe stOPpED rESPONdiNG??,technical
271,I need help recovering my acc,account
272,?? how can i reset my pw??,account
273,i  am unable 2    access my   profile.   😩,account
274,😩   !!! I need to   update    my acct information. www.example.com/help   can u  check,account
275,<P><B>THE APP SUDDENLY CLOSES BY ITSELF.</SPAN>,technical
276,http://support.example.com I need help recovering my acct,account
277,plz help Something is wrong with the application.,technical
278,pls help I am having trouble signing into the webiste 🤦,account
279,<p>... I WOuLd lIke 2 DIsputE a CHaRG??</SPan>,billing
280,pls help <p>Where is my order?</span> plz help,delivery
281,i cant get the website 2 work.,technical
282,plz help The package was supposed to arrive yesterday?! https://shop.example.com/order,delivery
283,The   app stops  working whenever  I   open  it???,technical
284,<p>... I need to reset my login information!!</strong> plz help 😩,account
285,🙏   the  app    keeps   crashing.,technical
286,😩 u guys pls help https://example.com/help where is my order? thx,delivery
287,HEY    PLS   HELP WHEN SHOULD   I   EXPECT    MY    PACKAGE?,delivery
288,😢   My payment  was   processed   twice.    let   me know  asap,billing
289,<p>my login is not working.</strong>,account
290,😢  <span>??    i    cant upload  my    file!!!</p>,technical
291,??  there    is an incorrect  charge   on   my    acct??,billing
292,HI PLS HTTP://SUPPORT.EXAMPLE.COM ... I NEED TO UPDATE MY ACCOUNT INFORMATION.,account
293,My   card    was charged   but the    payment  failed!?!,billing
294,😢 HI PLS MY SHIPMENT HAS NOT BEEN DELIVERED. PLZ HELP,delivery
295,😭 the courier has not delivered my order!!,delivery
296,hTtPS://sHoP.ExaMple.coM/ordER I KEep reCeiVINg an ERrO WHILE USInG THE wEbsITe!!!! THX,technical
297,😭  CAN  U  HELP    I  NEED    TO RESET  MY LOGN  INFORMATION!!!!,account
298,I  need  to    reset my login  information!!!!    plz help,account
299,plz help <p><b>I was billed more than I expected.</b> thx pls,billing
300,the   system   is    not   responding  to   my  requests?!,technical
301,... MY CaRD was ChARGEd BuT THe PAYMeNT faileD. 😤,billing
302,😡  PlZ HELp ThE   WEBSitE    iS noT    lOADInG   pRopeRlY.,technical
303,MY SHIPMENT HAS NOT BEEN DELIVERED. PLS CHECK 🤦,delivery
304,<P><B>I HAVE BEEN WAITING 4 MY ORDER 4 SEVERAL DAYS.</STRONG>,delivery
305,pLS CHeCk i cannoT GET thE wEBSIte To wORk. hTTP://SUPpOrt.eXaMPLe.Com 📦,technical
306,HTtpS://ExAmpLe.coM/ACcOUNT <stRong>I CAnnot remEmBer My UserName!!</sTRonG>,account
307,the courier has not delivered my order!!!! https://shop.example.com/order,delivery
308,need help    asap  Where    is my   order? 😕,delivery
309,😤 <p>The app suddenly closes by itself.</strong>,technical
310,🤦 MY INVOCE SHOWS THE WRONG AMOUNT!! WWW.EXAMPLE.COM/HELP CAN U CHECK,billing
311,pls check    <strong>why   can't   i   sign    into my acct!!!!</b></p>,account
312,U  GUYS  PLS  HELP  THE AMOUNT  ON    MY INVOICE   IS  INCORRECT...  CAN    U CHECK,billing
313,i need 2 update my account information.,account
314,...    my  order was    expected 2day but  hasn't  arrived.,delivery
315,😢 can u help http://support.example.com The page keeps showing an error.,technical
316,Pls CHecK ... my paCkAgE SEEmS To Be STUCK in traNsit.,delivery
317,<P>HOw dO I cHanGe mY Pw</p> PLS CHECk,account
318,pls help   https://example.com/help  ??    My    payment   was   processed   twice.    😕,billing
319,I  am havInG    tROubLE SIGnIng    into    The   WEBsite.,account
320,... ThE systEm IS eXTReMElY slOW.,technical
321,pls help <p>I need 2 reset my login information.</b></p>,account
322,?? The app freezes on the logn screen?! thx,technical
323,I keep receiving an error while using the website. https://shop.example.com/order thx,technical
324,pls help https://example.com/help <p>I cannot upload my file.</div>,technical
325,<b>I am getting an eror message...</span> http://support.example.com,technical
326,... MY SHIPMENT APPEARS 2 BE DELAYED.,delivery
327,!!! Something is wrong with the application.,technical
328,?? I am unable to sign in!!!!,account
329,hi pls <span>... I am getting an error message.</strong> pls help,technical
330,PLZ HELP I CANT GET THE WEBSITE TO WORK. THX,technical
331,... I cant remember my username!! https://shop.example.com/order,account
332,!!! the delivery is taking too long. 😕,delivery
333,<div>i  am   having    trouble   signing into   the   website.</p>,account
334,🙏 I WAS CHARGED EVEN THOUGH MY ORDER WAS CANCELLED.,billing
335,plz help ?? I need to reset my login information!!,account
336,CAN U hElP when SHoULD I ExpecT My pACkGE? 😤,delivery
337,😩 <div>the app suddenly closes by itself?!</span>,technical
338,pls help !!! The refud amount on my acount is incorrect!!!! pls help,billing
339,<span>The screen goes blank when I open the app.</span>,technical
340,MY ACCT HAS BEEN LOCKED.,account
341,I FORGOT MY LOGIN DETAILS.,account
342,i need help recovering my account. 🙏,account
343,plz help <div>The package is missing?!</div> https://shop.example.com/order,delivery
344,📦 i  DOn'T   RecOgNIZE  tHiS   chaRGe    of    $5.,billing
345,🙏 HI PLS <STRONG>WHERE IS MY ORDER?</P>,delivery
346,<p><b>How    can    I    reset  my pwd</div>  https://example.com/account   pls check   🤦,account
347,httpS://example.COM/AcCoUnt I CAnnOT get The WebSite To WOrK!!!! cAN u CHecK,technical
348,U   gUyS    PLS   helP   <sTRonG>THE PAyMEnt  aMOUNt   LooKs    WrONG.</B></P>,billing
349,CAN U HELP <StROnG>I kEeP reCeIVinG an ERRoR while usING thE WebSite.</DIV> 💳,technical
350,CAN U HELP ?? I AM UNABLE 2 SIGN IN??,account
351,U    GuYS PLs HelP   My   ACC  iS LOcKeD!!!  pLZ    HELp  💳,account
352,https://example.com/support I    need   help   recovering    my   account.  thx    🤦,account
353,hey   pls    help    <span>i  need    2  reset my    loign  info??</b></p>  https://example.com/account let   me    know asap 🙏,account
354,hey pLs helP <stRonG>THE aPP suddeNLY cLoSEs By itseLf.</b> https://EXaMpLE.COM/SUPpOrT,technical
355,HttPS://eXaMpLE.cOm/aCCOUNT the CouRIER haS Not dELiverED my oRDeR!!!!,delivery
356,😩 MY   ACCT HAS    BEEN  LOCKED!?!,account
357,U GUYS PLS HELP <P>THE SCREEN GOES BLANK WHEN I OPEN THE APP.</DIV> PLS HELP,technical
358,<p><b>My package seems to be stuck in transit???</strong> 😡,delivery
359,pls  help  https://example.com/support  i was   charged even    though  my    order   was  cancelled.,billing
360,NEED HELP ASAP <STRONG>THE APP CRASHES WHENEVER I TRY 2 PLACE AN ORDER.</DIV>,technical
361,😢 <B>I FORGOT MY PASSWORD.</B>,account
362,THE PACKAGE IS MISSING!?!,delivery
363,🤦 <b>My order was expected 2day but hasn't arrivd</strong> https://example.com/account,delivery
364,my card was chared but the payment failed. 😩,billing
365,📦  can u help    the  webiste stopped    responding???,technical
366,The amount on my invoice is incorrect. 🤦,billing
367,http://support.example.com <b>?? I am unable to sign in!!</p>,account
368,<P><b>mY ACCoUNT hAS BeEn loCkeD.</SPan>,account
369,I  was    charaged even though  my   order  was  cancelled.,billing
370,😡 PLS HELP I CANNOT LOG INTO MY ACC!!!! THX PLS,account
371,www.example.com/help ?? I cannot get the webiste to work. thx,technical
372,?? My  acct credentials  are  not  working!?! pls check,account
373,<b>There    is   an incorrect charge   on my  account.</b></p>   📦,billing
374,pls help i forgot my login details.,account
375,<b>my shipment has not been delivered.</b></p>,delivery
376,hi pls ... my acc is locked?!,account
377,??  CAN  U HELP ME    RECOVER  MY PASWORD?,account
378,NEED HELP ASAP <DIV>MY ACCOUNT CREDENTIALS R NOT WORKING.</STRONG>,account
379,u guys pls help How can I change my email adres?,account
380,pls   check    https://example.com/help !!!   My    acc  has   been   locked... can u  check   😡,account
381,u guys pls help ?? I would like 2 dispute a charage can u check,billing
382,mY pAcKAgE Has Not ArriVed yET.,delivery
383,The   app  stops   working    whenever   I open    it!!    📦,technical
384,I cannot get the website to work. 📦,technical
385,🤦 plz    help I   cannot log into    my   account!!,account
386,My  order  still  hasn't arrived!!!!,delivery
387,u gUys plS help htTPS://example.com/accOUnT <dIv>thE aPPLiCATIOn kEEpS cRAshing.</B> pLz Help,technical
388,pls    check   www.example.com/help ...   Something    is  wrong with  the    app,technical
389,need help asap I cannot access my acct??? 😡,account
390,tHe   deliveRY   Is TaKING   tOO    LoNG!?!,delivery
391,HI PLS I AM GETTING AN ERROR MSG 😕,technical
392,<strong>the system is extremely slow!!!</strong> 😩,technical
393,🤦 HOW DO I CHANGE MY PASWORD??,account
394,ThE  TRACKinG iNfO  Has    NOt   chANgED!!!!  📦,delivery
395,NEEd Help ASAp i aM hAViNg a techNICal ProblEM WIth THe App,technical
396,need  help asap  How   do   I  change   my    password!!   https://example.com/support,account
397,<span>The applicaton is freezing repeatedly.</strong> let me know asap,technical
398,🤦 !!!    I  HAVE BEEN WAITING    4    MY  ORDER FOR    SEVERAL    DAYS.,delivery
399,hey pls  help  <strong>?? i   am   having   a technical    prob   with the    application.</p>,technical
